n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches
130,9,7,first,0,1000,0,0,0,0,0
130,11,3,second,0,1000,0,0,0,0,0
130,9,7,first,1,1000,0,0,0,0,0
130,11,3,second,1,1000,0,0,0,0,0
130,9,7,first,2,1000,0,0,0,0,0
130,11,3,second,2,1000,0,0,0,0,0
130,9,7,first,3,1000,0,0,0,0,0
130,11,3,second,3,1000,0,0,0,0,0
130,9,7,first,4,1000,0,0,0,0,0
130,11,3,second,4,1000,0,0,0,0,0
130,9,7,first,5,1000,0,0,0,0,0
130,11,3,second,5,1000,0,0,0,0,0
130,9,7,first,6,1000,0,0,0,0,0
130,11,3,second,6,1000,0,0,0,0,0
130,9,7,first,7,1000,0,0,0,0,0
130,11,3,second,7,1000,0,0,0,0,0
130,9,7,first,8,1000,0,0,0,0,0
130,11,3,second,8,1000,0,0,0,0,0
130,9,7,first,9,1000,0,0,0,0,0
130,11,3,second,9,1000,0,0,0,0,0
130,9,7,first,10,1000,0,0,0,0,0
130,11,3,second,10,1000,0,0,0,0,0
130,9,7,first,11,1000,0,0,0,0,0
130,11,3,second,11,1000,0,0,0,0,0
130,9,7,first,12,1000,0,0,0,0,0
130,11,3,second,12,1000,0,0,0,0,0
130,9,7,first,13,1000,0,0,0,0,0
130,11,3,second,13,1000,0,0,0,0,0
130,9,7,first,14,1000,0,0,0,0,0
130,11,3,second,14,1000,0,0,0,0,0
130,9,7,first,15,1000,0,0,0,0,0
130,11,3,second,15,1000,0,0,0,0,0
130,9,7,first,16,1000,0,0,0,0,0
130,11,3,second,16,1000,0,0,0,0,0
130,9,7,first,17,1000,0,0,0,0,0
130,11,3,second,17,1000,0,0,0,0,0
130,9,7,first,18,1000,0,0,0,0,0
130,11,3,second,18,1000,0,0,0,0,0
130,9,7,first,19,1000,0,0,0,0,0
130,11,3,second,19,1000,0,0,0,0,0
