observable,mode,topology,model,L_min,train_max,n_train,a4,a6,a8,a4_sign,a6_sign,a8_sign,a4_over_a6,condition_number,training_rmse
V,shared,torus_shared:wrapping_V,B,24,48,3,-240.489304259188906,165937.723497051995,nan,-,+,,-0.00144927445785684395,4022565574.01,0.0
V,shared,torus_shared:wrapping_V,B,16,64,5,108.229955913465473,-27512.7113511642316,nan,+,-,,-0.00393381642877904142,419236469.945,0.0000426158938256786713
V,shared,torus_shared:wrapping_V,C,16,64,5,-315.000185113354413,315099.902182750795,-60242020.4018549540,-,+,-,-0.000999683538240711518,1.43699837922e+12,7.65462634975800383e-6
V,shared,torus_shared:wrapping_V,B,24,64,4,-203.386573785312278,147517.574804985792,nan,-,+,,-0.00137872774856950962,3728783765.80,6.65076062420412658e-6
V,shared,torus_shared:wrapping_V,C,24,64,4,195.257569984155228,-443489.357999802858,210834017.826200538,+,-,+,-0.000440275660423495494,3.17008622155e+13,0.0
V,shared,torus_shared:wrapping_V,B,32,64,3,80.2796085551569526,-123014.772040249875,nan,+,-,,-0.000652601368304692945,35374949850.2,0.0
V,shared,torus_shared:wrapping_V,B,16,96,6,63.9782617926607618,-17186.4541459148990,nan,+,-,,-0.00372259811415887384,427028305.949,0.0000724387475880141378
V,shared,torus_shared:wrapping_V,C,16,96,6,-524.918772836254857,470920.533351712900,-86635176.0476434737,-,+,-,-0.00111466528991678665,1.41036499423e+12,0.0000383916179758807672
V,shared,torus_shared:wrapping_V,B,24,96,5,-362.105727895235673,227958.234161476176,nan,-,+,,-0.00158847399931486996,3745399168.13,0.0000443387568753691815
V,shared,torus_shared:wrapping_V,C,24,96,5,-1570.22083101748043,2095175.10199748908,-680212673.985414853,-,+,-,-0.000749446110504305825,2.35410587166e+13,0.0000336305413029564118
V,shared,torus_shared:wrapping_V,B,32,96,4,-1200.08441019262062,1058331.69195063162,nan,-,+,,-0.00113393978402056715,27585058913.1,0.0000392134390389668062
V,shared,torus_shared:wrapping_V,C,32,96,4,-8665.63122368732197,24254197.3298885356,-16037295298.9782029,-,+,-,-0.000357283776734537947,4.08974893988e+14,0.0
V,shared,torus_shared:wrapping_V,B,48,96,3,-6594.03677408814098,12665030.9207748507,nan,-,+,,-0.000520649086080929652,257443771103.,0.0
V,shared,torus_shared:wrapping_V,B,16,128,7,74.5468015153430943,-19655.2069474088422,nan,+,-,,-0.00379272534320330034,442091964.390,0.0000696422988613783781
V,shared,torus_shared:wrapping_V,C,16,128,7,-385.807364808498682,367058.537125351246,-68997341.0144715767,-,+,-,-0.00105107857681224473,1.44263136092e+12,0.0000506212949021869506
V,shared,torus_shared:wrapping_V,B,24,128,6,-266.464869075770937,179238.103988618639,nan,-,+,,-0.00148665302268925514,3886239980.19,0.0000548609980886877281
V,shared,torus_shared:wrapping_V,C,24,128,6,-452.512804637359349,473107.806999219847,-108186551.660906333,-,+,-,-0.000956468690524283699,2.24707443176e+13,0.0000546493278628983121
V,shared,torus_shared:wrapping_V,B,32,128,5,-406.313715028703187,320605.382489037544,nan,-,+,,-0.00126733279358650901,26830931890.2,0.0000598616781376271755
V,shared,torus_shared:wrapping_V,C,32,128,5,-310.366109909041795,9919.95094002035783,218512890.262661465,-,+,+,-0.0312870609729451805,3.67866007634e+14,0.0000598587309519996066
V,shared,torus_shared:wrapping_V,B,48,128,4,-622.932608818405460,807291.592665249144,nan,-,+,,-0.000771632721656139152,238641797406.,0.0000668959938362184500
V,shared,torus_shared:wrapping_V,C,48,128,4,63532.6073452616239,-379645997.219450057,542887001983.406961,+,-,+,-0.000167346970099983227,8.11539083525e+15,0.0
V,shared,torus_shared:wrapping_V,B,64,128,3,45028.7027637295728,-173344508.283642131,nan,+,-,,-0.000259764230257871758,2.26399560959e+12,0.0
V,shared,torus_shared:wrapping_V,B,16,192,8,70.7521231611648583,-18768.3383196707141,nan,+,-,,-0.00376975957892931818,459717959.464,0.0000656445020333103618
V,shared,torus_shared:wrapping_V,C,16,192,8,-375.715784784590575,359500.809576372973,-67712135.2133080555,-,+,-,-0.00104510414100965429,1.49340225086e+12,0.0000474693937091769892
V,shared,torus_shared:wrapping_V,B,24,192,7,-261.401523761028460,176651.915388276704,nan,-,+,,-0.00147975482284737267,4063507403.30,0.0000508508087123752473
V,shared,torus_shared:wrapping_V,C,24,192,7,-385.714546732886711,375618.177912908460,-73707409.5241450481,-,+,-,-0.00102687934028134073,2.26116471761e+13,0.0000507462211482295788
V,shared,torus_shared:wrapping_V,B,32,192,6,-358.289778285392229,275779.299992285899,nan,-,+,,-0.00129919025211614619,27329610051.1,0.0000548029395980781321
V,shared,torus_shared:wrapping_V,C,32,192,6,-1.40425807473964008,-907438.178841267936,840047425.724607086,-,-,+,1.54749723725838244e-6,3.61048066415e+14,0.0000547535266905189302
V,shared,torus_shared:wrapping_V,B,48,192,5,-340.110007050716767,233940.841278184265,nan,-,+,,-0.00145382911847480442,239705197827.,0.0000600333559615887807
V,shared,torus_shared:wrapping_V,C,48,192,5,28693.0052289429064,-179255984.760582657,261547170765.613555,+,-,+,-0.000160067209288804345,6.02648974490e+15,0.0000414786537917527150
V,shared,torus_shared:wrapping_V,B,64,192,4,22138.9797774328090,-88866366.3938416408,nan,+,-,,-0.000249126645724619392,1.76544290901e+12,0.0000438149202003818508
V,shared,torus_shared:wrapping_V,C,64,192,4,-111326.422248822657,1569871089.84625341,-4587311001783.02427,-,+,-,-0.0000709143718671356002,1.04697470193e+17,0.0
V,shared,torus_shared:wrapping_V,B,96,192,3,-74291.4678163705747,741129248.112368646,nan,-,+,,-0.000100240906704988979,1.64763996481e+13,0.0
V,shared,torus_shared:wrapping_V,B,16,256,9,66.2275800717690729,-17710.7763060976454,nan,+,-,,-0.00373939453173306531,478256245.242,0.0000628830069835224090
V,shared,torus_shared:wrapping_V,C,16,256,9,-381.483870930549311,363823.590954631032,-68447456.4668981573,-,+,-,-0.00104854077749488357,1.55165895740e+12,0.0000448141171460574239
V,shared,torus_shared:wrapping_V,B,24,256,8,-267.058784323611641,179543.156808026904,nan,-,+,,-0.00148743504944139504,4253282068.49,0.0000476790163852814719
V,shared,torus_shared:wrapping_V,C,24,256,8,-415.564067754014004,419243.052421575724,-89147124.9845080113,-,+,-,-0.000991224697353213941,2.32171844802e+13,0.0000475241535131065474
V,shared,torus_shared:wrapping_V,B,32,256,7,-380.758372136817909,296773.460196760544,nan,-,+,,-0.00128299333735697067,28293680002.1,0.0000507989226821803709
V,shared,torus_shared:wrapping_V,C,32,256,7,-189.982432295427285,-344260.625052859238,457492375.792530030,-,-,+,0.000551856408981586482,3.69308190366e+14,0.0000507838159413481775
V,shared,torus_shared:wrapping_V,B,48,256,6,-448.452828371580566,454703.240244549832,nan,-,+,,-0.000986253865555020784,248719006072.,0.0000548653921624995296
V,shared,torus_shared:wrapping_V,C,48,256,6,20100.5443236281722,-129376948.414386707,191187298929.523954,+,-,+,-0.000155364186356037079,5.75249064959e+15,0.0000436532669142987783
V,shared,torus_shared:wrapping_V,B,64,256,5,15971.6091343716732,-65938679.0337145046,nan,+,-,,-0.000242219124926742548,1.71717883223e+12,0.0000457245150035320332
V,shared,torus_shared:wrapping_V,C,64,256,5,-101671.215412643894,1457805938.35205530,-4286751891867.92199,-,+,-,-0.0000697426267364337163,9.41736087147e+16,4.32323526260453389e-6
V,shared,torus_shared:wrapping_V,B,96,256,4,-70340.9551659882107,709748687.382514193,nan,-,+,,-0.0000991068478413098280,1.52730735795e+13,2.76617044556640521e-6
V,shared,torus_shared:wrapping_V,C,96,256,4,-27895.3261557203496,-297090576.332753165,5746828485191.49094,-,-,+,0.0000938950218484092336,2.07753957555e+18,0.0
V,shared,torus_shared:wrapping_V,B,128,256,3,-40137.6028113493131,248869848.590974684,nan,-,+,,-0.000161279492226945934,1.44895714291e+14,0.0
either,shared,torus_shared:wrapping_either,B,16,32,3,214.720505245896026,-52108.7216380240311,nan,+,-,,-0.00412062507956850835,552738203.994,0.0
either,shared,torus_shared:wrapping_either,B,16,48,4,127.395567730645213,-31965.8160577891592,nan,+,-,,-0.00398536885466443584,431019910.478,0.0000427917194009862304
either,shared,torus_shared:wrapping_either,C,16,48,4,-381.778697915466927,363542.314400714643,-68362189.8436045865,-,+,-,-0.00105016302860043748,1.59758324499e+12,0.0
either,shared,torus_shared:wrapping_either,B,24,48,3,-240.489304259188906,165937.723497051995,nan,-,+,,-0.00144927445785684395,4022565574.01,0.0
either,shared,torus_shared:wrapping_either,B,16,64,5,108.229955913465473,-27512.7113511642316,nan,+,-,,-0.00393381642877904142,419236469.945,0.0000426158938256786713
either,shared,torus_shared:wrapping_either,C,16,64,5,-315.000185113354413,315099.902182750795,-60242020.4018549540,-,+,-,-0.000999683538240711518,1.43699837922e+12,7.65462634975800383e-6
either,shared,torus_shared:wrapping_either,B,24,64,4,-203.386573785312278,147517.574804985792,nan,-,+,,-0.00137872774856950962,3728783765.80,6.65076062420412658e-6
either,shared,torus_shared:wrapping_either,C,24,64,4,195.257569984155228,-443489.357999802858,210834017.826200538,+,-,+,-0.000440275660423495494,3.17008622155e+13,0.0
either,shared,torus_shared:wrapping_either,B,32,64,3,80.2796085551569526,-123014.772040249875,nan,+,-,,-0.000652601368304692945,35374949850.2,0.0
either,shared,torus_shared:wrapping_either,B,16,96,6,63.9782617926607618,-17186.4541459148990,nan,+,-,,-0.00372259811415887384,427028305.949,0.0000724387475880141378
either,shared,torus_shared:wrapping_either,C,16,96,6,-524.918772836254857,470920.533351712900,-86635176.0476434737,-,+,-,-0.00111466528991678665,1.41036499423e+12,0.0000383916179758807672
either,shared,torus_shared:wrapping_either,B,24,96,5,-362.105727895235673,227958.234161476176,nan,-,+,,-0.00158847399931486996,3745399168.13,0.0000443387568753691815
either,shared,torus_shared:wrapping_either,C,24,96,5,-1570.22083101748043,2095175.10199748908,-680212673.985414853,-,+,-,-0.000749446110504305825,2.35410587166e+13,0.0000336305413029564118
either,shared,torus_shared:wrapping_either,B,32,96,4,-1200.08441019262062,1058331.69195063162,nan,-,+,,-0.00113393978402056715,27585058913.1,0.0000392134390389668062
either,shared,torus_shared:wrapping_either,C,32,96,4,-8665.63122368732197,24254197.3298885356,-16037295298.9782029,-,+,-,-0.000357283776734537947,4.08974893988e+14,0.0
either,shared,torus_shared:wrapping_either,B,48,96,3,-6594.03677408814098,12665030.9207748507,nan,-,+,,-0.000520649086080929652,257443771103.,0.0
either,shared,torus_shared:wrapping_either,B,16,128,7,74.5468015153430943,-19655.2069474088422,nan,+,-,,-0.00379272534320330034,442091964.390,0.0000696422988613783781
either,shared,torus_shared:wrapping_either,C,16,128,7,-385.807364808498682,367058.537125351246,-68997341.0144715767,-,+,-,-0.00105107857681224473,1.44263136092e+12,0.0000506212949021869506
either,shared,torus_shared:wrapping_either,B,24,128,6,-266.464869075770937,179238.103988618639,nan,-,+,,-0.00148665302268925514,3886239980.19,0.0000548609980886877281
either,shared,torus_shared:wrapping_either,C,24,128,6,-452.512804637359349,473107.806999219847,-108186551.660906333,-,+,-,-0.000956468690524283699,2.24707443176e+13,0.0000546493278628983121
either,shared,torus_shared:wrapping_either,B,32,128,5,-406.313715028703187,320605.382489037544,nan,-,+,,-0.00126733279358650901,26830931890.2,0.0000598616781376271755
either,shared,torus_shared:wrapping_either,C,32,128,5,-310.366109909041795,9919.95094002035783,218512890.262661465,-,+,+,-0.0312870609729451805,3.67866007634e+14,0.0000598587309519996066
either,shared,torus_shared:wrapping_either,B,48,128,4,-622.932608818405460,807291.592665249144,nan,-,+,,-0.000771632721656139152,238641797406.,0.0000668959938362184500
either,shared,torus_shared:wrapping_either,C,48,128,4,63532.6073452616239,-379645997.219450057,542887001983.406961,+,-,+,-0.000167346970099983227,8.11539083525e+15,0.0
either,shared,torus_shared:wrapping_either,B,64,128,3,45028.7027637295728,-173344508.283642131,nan,+,-,,-0.000259764230257871758,2.26399560959e+12,0.0
either,shared,torus_shared:wrapping_either,B,16,192,8,70.7521231611648583,-18768.3383196707141,nan,+,-,,-0.00376975957892931818,459717959.464,0.0000656445020333103618
either,shared,torus_shared:wrapping_either,C,16,192,8,-375.715784784590575,359500.809576372973,-67712135.2133080555,-,+,-,-0.00104510414100965429,1.49340225086e+12,0.0000474693937091769892
either,shared,torus_shared:wrapping_either,B,24,192,7,-261.401523761028460,176651.915388276704,nan,-,+,,-0.00147975482284737267,4063507403.30,0.0000508508087123752473
either,shared,torus_shared:wrapping_either,C,24,192,7,-385.714546732886711,375618.177912908460,-73707409.5241450481,-,+,-,-0.00102687934028134073,2.26116471761e+13,0.0000507462211482295788
either,shared,torus_shared:wrapping_either,B,32,192,6,-358.289778285392229,275779.299992285899,nan,-,+,,-0.00129919025211614619,27329610051.1,0.0000548029395980781321
either,shared,torus_shared:wrapping_either,C,32,192,6,-1.40425807473964008,-907438.178841267936,840047425.724607086,-,-,+,1.54749723725838244e-6,3.61048066415e+14,0.0000547535266905189302
either,shared,torus_shared:wrapping_either,B,48,192,5,-340.110007050716767,233940.841278184265,nan,-,+,,-0.00145382911847480442,239705197827.,0.0000600333559615887807
either,shared,torus_shared:wrapping_either,C,48,192,5,28693.0052289429064,-179255984.760582657,261547170765.613555,+,-,+,-0.000160067209288804345,6.02648974490e+15,0.0000414786537917527150
either,shared,torus_shared:wrapping_either,B,64,192,4,22138.9797774328090,-88866366.3938416408,nan,+,-,,-0.000249126645724619392,1.76544290901e+12,0.0000438149202003818508
either,shared,torus_shared:wrapping_either,C,64,192,4,-111326.422248822657,1569871089.84625341,-4587311001783.02427,-,+,-,-0.0000709143718671356002,1.04697470193e+17,0.0
either,shared,torus_shared:wrapping_either,B,96,192,3,-74291.4678163705747,741129248.112368646,nan,-,+,,-0.000100240906704988979,1.64763996481e+13,0.0
either,shared,torus_shared:wrapping_either,B,16,256,9,66.2275800717690729,-17710.7763060976454,nan,+,-,,-0.00373939453173306531,478256245.242,0.0000628830069835224090
either,shared,torus_shared:wrapping_either,C,16,256,9,-381.483870930549311,363823.590954631032,-68447456.4668981573,-,+,-,-0.00104854077749488357,1.55165895740e+12,0.0000448141171460574239
either,shared,torus_shared:wrapping_either,B,24,256,8,-267.058784323611641,179543.156808026904,nan,-,+,,-0.00148743504944139504,4253282068.49,0.0000476790163852814719
either,shared,torus_shared:wrapping_either,C,24,256,8,-415.564067754014004,419243.052421575724,-89147124.9845080113,-,+,-,-0.000991224697353213941,2.32171844802e+13,0.0000475241535131065474
either,shared,torus_shared:wrapping_either,B,32,256,7,-380.758372136817909,296773.460196760544,nan,-,+,,-0.00128299333735697067,28293680002.1,0.0000507989226821803709
either,shared,torus_shared:wrapping_either,C,32,256,7,-189.982432295427285,-344260.625052859238,457492375.792530030,-,-,+,0.000551856408981586482,3.69308190366e+14,0.0000507838159413481775
either,shared,torus_shared:wrapping_either,B,48,256,6,-448.452828371580566,454703.240244549832,nan,-,+,,-0.000986253865555020784,248719006072.,0.0000548653921624995296
either,shared,torus_shared:wrapping_either,C,48,256,6,20100.5443236281722,-129376948.414386707,191187298929.523954,+,-,+,-0.000155364186356037079,5.75249064959e+15,0.0000436532669142987783
either,shared,torus_shared:wrapping_either,B,64,256,5,15971.6091343716732,-65938679.0337145046,nan,+,-,,-0.000242219124926742548,1.71717883223e+12,0.0000457245150035320332
either,shared,torus_shared:wrapping_either,C,64,256,5,-101671.215412643894,1457805938.35205530,-4286751891867.92199,-,+,-,-0.0000697426267364337163,9.41736087147e+16,4.32323526260453389e-6
either,shared,torus_shared:wrapping_either,B,96,256,4,-70340.9551659882107,709748687.382514193,nan,-,+,,-0.0000991068478413098280,1.52730735795e+13,2.76617044556640521e-6
either,shared,torus_shared:wrapping_either,C,96,256,4,-27895.3261557203496,-297090576.332753165,5746828485191.49094,-,-,+,0.0000938950218484092336,2.07753957555e+18,0.0
either,shared,torus_shared:wrapping_either,B,128,256,3,-40137.6028113493131,248869848.590974684,nan,-,+,,-0.000161279492226945934,1.44895714291e+14,0.0
both,shared,torus_shared:wrapping_both,B,16,32,3,214.720505245896026,-52108.7216380240311,nan,+,-,,-0.00412062507956850835,552738203.994,0.0
both,shared,torus_shared:wrapping_both,B,16,48,4,127.395567730645213,-31965.8160577891592,nan,+,-,,-0.00398536885466443584,431019910.478,0.0000427917194009862304
both,shared,torus_shared:wrapping_both,C,16,48,4,-381.778697915466927,363542.314400714643,-68362189.8436045865,-,+,-,-0.00105016302860043748,1.59758324499e+12,0.0
both,shared,torus_shared:wrapping_both,B,24,48,3,-240.489304259188906,165937.723497051995,nan,-,+,,-0.00144927445785684395,4022565574.01,0.0
both,shared,torus_shared:wrapping_both,B,16,64,5,108.229955913465473,-27512.7113511642316,nan,+,-,,-0.00393381642877904142,419236469.945,0.0000426158938256786713
both,shared,torus_shared:wrapping_both,C,16,64,5,-315.000185113354413,315099.902182750795,-60242020.4018549540,-,+,-,-0.000999683538240711518,1.43699837922e+12,7.65462634975800383e-6
both,shared,torus_shared:wrapping_both,B,24,64,4,-203.386573785312278,147517.574804985792,nan,-,+,,-0.00137872774856950962,3728783765.80,6.65076062420412658e-6
both,shared,torus_shared:wrapping_both,C,24,64,4,195.257569984155228,-443489.357999802858,210834017.826200538,+,-,+,-0.000440275660423495494,3.17008622155e+13,0.0
both,shared,torus_shared:wrapping_both,B,32,64,3,80.2796085551569526,-123014.772040249875,nan,+,-,,-0.000652601368304692945,35374949850.2,0.0
both,shared,torus_shared:wrapping_both,B,16,96,6,63.9782617926607618,-17186.4541459148990,nan,+,-,,-0.00372259811415887384,427028305.949,0.0000724387475880141378
both,shared,torus_shared:wrapping_both,C,16,96,6,-524.918772836254857,470920.533351712900,-86635176.0476434737,-,+,-,-0.00111466528991678665,1.41036499423e+12,0.0000383916179758807672
both,shared,torus_shared:wrapping_both,B,24,96,5,-362.105727895235673,227958.234161476176,nan,-,+,,-0.00158847399931486996,3745399168.13,0.0000443387568753691815
both,shared,torus_shared:wrapping_both,C,24,96,5,-1570.22083101748043,2095175.10199748908,-680212673.985414853,-,+,-,-0.000749446110504305825,2.35410587166e+13,0.0000336305413029564118
both,shared,torus_shared:wrapping_both,B,32,96,4,-1200.08441019262062,1058331.69195063162,nan,-,+,,-0.00113393978402056715,27585058913.1,0.0000392134390389668062
both,shared,torus_shared:wrapping_both,C,32,96,4,-8665.63122368732197,24254197.3298885356,-16037295298.9782029,-,+,-,-0.000357283776734537947,4.08974893988e+14,0.0
both,shared,torus_shared:wrapping_both,B,48,96,3,-6594.03677408814098,12665030.9207748507,nan,-,+,,-0.000520649086080929652,257443771103.,0.0
both,shared,torus_shared:wrapping_both,B,16,128,7,74.5468015153430943,-19655.2069474088422,nan,+,-,,-0.00379272534320330034,442091964.390,0.0000696422988613783781
both,shared,torus_shared:wrapping_both,C,16,128,7,-385.807364808498682,367058.537125351246,-68997341.0144715767,-,+,-,-0.00105107857681224473,1.44263136092e+12,0.0000506212949021869506
both,shared,torus_shared:wrapping_both,B,24,128,6,-266.464869075770937,179238.103988618639,nan,-,+,,-0.00148665302268925514,3886239980.19,0.0000548609980886877281
