dps,min_train,holdout,rank,model,score,median_rmse,worst_rmse,intercept_range,full_fit_intercept,folds
100,9,4,2,"4,6,8,10",-20.5150320860726,2.60536845804743326737109265445e-11,2.62124288884254370654996785955e-11,1.17246196473993313282965115373e-10,0.592746050932211123324665440769,3
100,9,4,3,"4,6",-18.6405345796105,4.65203313179175128282593415003e-10,9.54906445920988206838207304552e-10,4.91838613201673145050853785528e-10,0.592746051152953978006876147574,5
100,9,4,4,"4,6,8",-18.4101731504089,4.70612355095889753879944797155e-10,5.50212824323507321023960023032e-10,8.26349036334774408332194150815e-10,0.592746051674919661201619096516,4
100,9,4,5,4,-14.0828383321818,0.000000102137459438193853534073839265,0.000000130567696173328761243011625921,0.0000000809052337132562781760786898421,0.592746137072706843469647347542,6
100,10,2,1,"4,6,8,10,12",-22.0373968664036,2.15316152543163063418936713737e-12,2.35817630380513701253632319314e-12,4.26114705978310530220529133407e-11,0.592746050847292954520075612872,3
100,10,2,2,"4,6,8,10",-21.2569348202651,6.86323967494473182213858136979e-12,8.07356381194087552715057204637e-12,8.06373067949757302337263524974e-11,0.592746050895602233645647857719,4
100,10,2,3,"4,6",-19.4341901543364,7.48147491982137230258933972581e-11,1.40130398998030804929085310661e-10,4.91838613201673145050853785528e-10,0.592746051446620830776730697718,6
100,10,2,4,"4,6,8",-19.3025597310978,1.11015985641996871439323156966e-10,1.11284362855013869287826795465e-10,4.48801965056986830631290054051e-10,0.592746051297372589923831518815,5
100,10,2,5,4,-14.6574768662639,0.0000000438929006907877451229466423571,0.0000000483336420372795667369353942006,0.0000000501335953483050236235401258361,0.592746106301068478518392795004,7
100,10,3,1,"4,6,8,10,12",-21.8349339639518,3.43193863102123952104113654307e-12,3.50424214491763824848240840853e-12,4.26114705978310530220529133407e-11,0.592746050847292954520075612872,2
100,10,3,2,"4,6,8,10",-21.0955426445679,9.95225147003819473439365262980e-12,1.06687924246949415425045352150e-11,8.06373067949757302337263524974e-11,0.592746050895602233645647857719,3
100,10,3,3,"4,6",-19.3580798024480,8.91451204823125183520582420686e-11,1.49259157889462927071126299311e-10,4.91838613201673145050853785528e-10,0.592746051446620830776730697718,5
100,10,3,4,"4,6,8",-19.1720179631035,1.49943376785478347200603811216e-10,1.61562011015856076135581763246e-10,4.48801965056986830631290054051e-10,0.592746051297372589923831518815,4
100,10,3,5,4,-14.6023025465441,0.0000000498389176442327657358697221833,0.0000000583141087675621358398544207000,0.0000000501335953483050236235401258361,0.592746106301068478518392795004,6
100,10,4,1,"4,6,8,10,12",-21.6619687795909,5.11098607454831040621666164887e-12,5.11098607454831040621666164887e-12,4.26114705978310530220529133407e-11,0.592746050847292954520075612872,1
100,10,4,2,"4,6,8,10",-20.9589012632998,1.36320987161626944171214241450e-11,1.39508196066394346459864512292e-11,8.06373067949757302337263524974e-11,0.592746050895602233645647857719,2
100,10,4,3,"4,6",-19.3161486827590,9.81812814062221606900882809599e-11,1.55582271180415013625624342377e-10,4.91838613201673145050853785528e-10,0.592746051446620830776730697718,4
100,10,4,4,"4,6,8",-19.0548632177880,1.96373116437756186325110626016e-10,2.14424627325947323541871812479e-10,4.48801965056986830631290054051e-10,0.592746051297372589923831518815,3
100,10,4,5,4,-14.5485349809734,0.0000000564074111141462851124671867565,0.0000000670923871731692495486470063454,0.0000000501335953483050236235401258361,0.592746106301068478518392795004,5
160,5,2,1,"4,6,8,10,12",-17.0189558788206,0.00000000251483586785186123485123579175,0.00000000450069949745480556236410509763,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,8
160,5,2,2,"4,6,8,10",-15.5822902191763,0.0000000156200519193683396895272134360,0.0000000271339389265388804405333031787,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,9
160,5,2,3,"4,6,8",-14.9926539185735,0.0000000346583337396049010668107459199,0.0000000836999028705136771042507248117,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,10
160,5,2,4,"4,6",-14.6088582922712,0.0000000520214282215381612481711063740,0.0000000603850706758667836875635954324,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,11
160,5,2,5,4,-11.4681549689432,0.00000236135884354065668071159433313,0.00000448292524520491706274311086762,0.00000144106324511479860914143671616,0.592747497230718245011978312900,12
160,5,3,1,"4,6,8,10,12",-16.9104847328457,0.00000000322835133354213690284657397049,0.00000000618471900533739136115038482788,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,7
160,5,3,2,"4,6,8,10",-15.4975238101208,0.0000000189866734971474425865203015789,0.0000000354872245626798913521826138672,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,8
160,5,3,3,"4,6,8",-14.9310195696838,0.0000000399431239759505502309716592171,0.000000100747812575351901466479912690,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,9
160,5,3,4,"4,6",-14.5559541884938,0.0000000587606207611387274912388262477,0.0000000683955837010150607272825117482,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,10
160,5,3,5,4,-11.4372372668262,0.00000253559386151486161469166600988,0.00000495553427941205065134212772281,0.00000144106324511479860914143671616,0.592747497230718245011978312900,11
160,5,4,1,"4,6,8,10,12",-16.7992532241513,0.00000000417073215719298262506297832043,0.00000000781324822668993686288441273174,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,6
160,5,4,2,"4,6,8,10",-15.4175392636600,0.0000000228261900365097063233154523865,0.0000000431799453393893895384169327644,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,7
160,5,4,3,"4,6,8",-14.8619806404757,0.0000000468253419433153329448944808822,0.000000115133815164462083054352327193,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,8
160,5,4,4,"4,6",-14.5197549558718,0.0000000638683369387251543468797572319,0.0000000763708179608194358113063401692,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,9
160,5,4,5,4,-11.4031187144509,0.00000274282591456471168032388229310,0.00000532299895247270045744967319977,0.00000144106324511479860914143671616,0.592747497230718245011978312900,10
160,6,2,1,"4,6,8,10,12",-18.8229582004366,2.70450092139205540192267291414e-10,5.06142042543689252539756691649e-10,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,7
160,6,2,2,"4,6,8,10",-18.6767964093259,2.56811765230183842678660005556e-10,3.02280516963079667135168079401e-10,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,8
160,6,2,3,"4,6,8",-16.2446413376572,0.00000000673324558760160838171372725845,0.00000000884946567276263079388310030445,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,9
160,6,2,4,"4,6",-14.7930245845788,0.0000000467455588814125023390113567571,0.0000000815311952781390200351323421940,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,10
160,6,2,5,4,-12.2915848570477,0.000000873539858405420377121368756477,0.00000148666700573514661438433970777,0.000000584968414556400244614964801419,0.592746641135887686613613786428,11
160,6,3,1,"4,6,8,10,12",-18.6834453464108,3.72906529454848570356363425634e-10,7.13382627585604390633322595627e-10,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,6
160,6,3,2,"4,6,8,10",-18.5881460070390,3.14967191779173303269925733805e-10,3.46221980787264654403186026058e-10,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,7
160,6,3,3,"4,6,8",-16.1722202010273,0.00000000795509905581385035843530762768,0.0000000115478410497181228785266580455,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,8
160,6,3,4,"4,6",-14.7417232409962,0.0000000526067775927897576943105605907,0.0000000973716749864950344395949798609,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,9
160,6,3,5,4,-12.2551340167523,0.000000950021789561304411536581625648,0.00000167100319626127564431622889895,0.000000584968414556400244614964801419,0.592746641135887686613613786428,10
160,6,4,1,"4,6,8,10,12",-18.5572012239239,4.98705445300674859689554921539e-10,9.19578524825726417443681642147e-10,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,5
160,6,4,2,"4,6,8,10",-18.5220395188618,3.66751422084353286441674765741e-10,3.99565033447347310188862349536e-10,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,6
160,6,4,3,"4,6,8",-16.1029857675263,0.00000000932996523063860273633754614146,0.0000000140466420678090288767847389503,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,7
160,6,4,4,"4,6",-14.6865797065235,0.0000000597289987379552252047869145574,0.000000110692861798592941877397268160,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,8
160,6,4,5,4,-12.2196718324824,0.00000103085065351786804300379604469,0.00000181856346294279962840582890605,0.000000584968414556400244614964801419,0.592746641135887686613613786428,9
160,7,2,1,"4,6,8,10,12",-20.1055960768830,5.51589716681259914670923010271e-11,9.26931196866998114824160049386e-11,1.42163387084646300231126977717e-10,0.592746050758013337940072648878,6
160,7,2,2,"4,6,8,10",-18.7184077372246,3.00569479678701765499156848789e-10,4.48916674963505170219236838388e-10,6.36278697336725440193946480731e-10,0.592746051451243624187397567680,7
160,7,2,3,"4,6,8",-17.1979171550221,0.00000000190816744199603438755480063919,0.00000000199688124919369211868200943429,0.00000000332251051091831937428841272965,0.592746054171081135785164062472,8
160,7,2,4,"4,6",-16.0936000208036,0.00000000994638901101468383277631830136,0.0000000164970127154854889149340964303,0.00000000810465511007399081046539889279,0.592746043341965720702739887252,9
160,7,2,5,4,-13.0333618469740,0.000000349713789469698353493451904869,0.000000514502419926977615520176855891,0.000000264804521184667093377568008060,0.592746320971994314880462549031,10
160,7,3,1,"4,6,8,10,12",-19.9482995099980,7.92342092176672843717725622980e-11,1.35784412141136031005639441050e-10,1.42163387084646300231126977717e-10,0.592746050758013337940072648878,5
160,7,3,2,"4,6,8,10",-18.5966050328518,3.97875854077616933119922192360e-10,6.26930622796440825211291524600e-10,6.36278697336725440193946480731e-10,0.592746051451243624187397567680,6
160,7,3,3,"4,6,8",-17.1139314806200,0.00000000231527272630482186415979887600,0.00000000271025768621024392509067344652,0.00000000332251051091831937428841272965,0.592746054171081135785164062472,7
160,7,3,4,"4,6",-16.0302780617939,0.0000000115076700130769969525860411295,0.0000000201036654210305048255240112040,0.00000000810465511007399081046539889279,0.592746043341965720702739887252,8
160,7,3,5,4,-12.9943920273863,0.000000382545041249703765863031750158,0.000000590742034667964015176191749396,0.000000264804521184667093377568008060,0.592746320971994314880462549031,9
160,7,4,1,"4,6,8,10,12",-19.7905734978577,1.13930168588232525826880746185e-10,1.79931847542344164439340697335e-10,1.42163387084646300231126977717e-10,0.592746050758013337940072648878,4
160,7,4,2,"4,6,8,10",-18.4850326011246,5.14422571008455466265992121284e-10,8.03050353592413304356964694492e-10,6.36278697336725440193946480731e-10,0.592746051451243624187397567680,5
160,7,4,3,"4,6,8",-17.0336345234022,0.00000000278547402578534142379388612877,0.00000000343429020776405186753668080819,0.00000000332251051091831937428841272965,0.592746054171081135785164062472,6
160,7,4,4,"4,6",-15.9695093808257,0.0000000132359793461568628861603651426,0.0000000231945195598899174702467312646,0.00000000810465511007399081046539889279,0.592746043341965720702739887252,7
160,7,4,5,4,-12.9531306370598,0.000000420672349526379721111204221182,0.000000653543739585128204485677736856,0.000000264804521184667093377568008060,0.592746320971994314880462549031,8
160,8,2,1,"4,6,8,10,12",-21.0505861708766,9.32034738575640447528858712194e-12,1.03875072534249654122545750799e-11,9.54952411024743892590166980115e-11,0.592746050900176725024718949109,5
160,8,2,2,"4,6,8,10",-20.4458198077358,2.23187149787359196519354579520e-11,2.77201552680478791801115496296e-11,1.60513293599243706984168447466e-10,0.592746050975478220449915834470,6
160,8,2,3,"4,6,8",-17.8563390628451,8.13763548277674795788817005325e-10,9.30607724392885300756796165024e-10,0.00000000171065607880526133909969151804,0.592746052559226703672106027284,7
160,8,2,4,"4,6",-17.3595205668986,0.00000000224671577277305796560974821216,0.00000000391295398816632322442984303550,0.00000000194505236909764704115985822869,0.592746049501568461679083656558,8
160,8,2,5,4,-13.6486552373247,0.000000161009249582943267564105193112,0.000000210568275243961721654471230226,0.000000139474218540816927968095592102,0.592746195641691671030297139559,9
160,8,3,1,"4,6,8,10,12",-20.8832584582496,1.37012380572377671091890395499e-11,1.40536544492378601812717082526e-11,9.54952411024743892590166980115e-11,0.592746050900176725024718949109,4
160,8,3,2,"4,6,8,10",-20.3206050307831,2.97772072076051452929032165038e-11,3.34198791207401323983032968527e-11,1.60513293599243706984168447466e-10,0.592746050975478220449915834470,5
160,8,3,3,"4,6,8",-17.7559585562233,0.00000000102536558958716570687563453014,0.00000000128565237537713790306747934926,0.00000000171065607880526133909969151804,0.592746052559226703672106027284,6
160,8,3,4,"4,6",-17.2875836024103,0.00000000265146011592180249788762039694,0.00000000479636660354651086766532885478,0.00000000194505236909764704115985822869,0.592746049501568461679083656558,7
160,8,3,5,4,-13.6039994275939,0.000000178445925323787701523726662288,0.000000246311976439368579666670632789,0.000000139474218540816927968095592102,0.592746195641691671030297139559,8
160,8,4,1,"4,6,8,10,12",-20.7418021284923,1.89765011871783597509300374146e-11,2.02499694622916250919004770886e-11,9.54952411024743892590166980115e-11,0.592746050900176725024718949109,3
160,8,4,2,"4,6,8,10",-20.2130089459480,3.81487267775011193584465045534e-11,4.03905539308066266476669909892e-11,1.60513293599243706984168447466e-10,0.592746050975478220449915834470,4
160,8,4,3,"4,6,8",-17.6624391562787,0.00000000127173943595123872858301139546,0.00000000163407695278367461171430677078,0.00000000171065607880526133909969151804,0.592746052559226703672106027284,5
160,8,4,4,"4,6",-17.2099663468832,0.00000000317031455266525829336518698769,0.00000000555652537052239031824506323314,0.00000000194505236909764704115985822869,0.592746049501568461679083656558,6
160,8,4,5,4,-13.5602877136982,0.000000197341465716345440852140690318,0.000000276496274505747355939126474453,0.000000139474218540816927968095592102,0.592746195641691671030297139559,7
160,9,2,1,"4,6,8,10,12",-21.6850876865887,3.41223366125780473357950908890e-12,4.22192129411879196543933241916e-12,6.05164648908086746989600887090e-11,0.592746050865197948813053234549,4
160,9,2,2,"4,6,8,10",-20.7893266397793,1.38539813077909357897077953681e-11,1.60268751391703734811205835431e-11,1.17246196473993313282965115373e-10,0.592746050932211123324665440769,5
160,9,2,3,"4,6",-18.8310565749372,2.99999688507016389268841383868e-10,6.92395295807666453967373428626e-10,4.91838613201673145050853785528e-10,0.592746051152953978006876147574,7
160,9,2,4,"4,6,8",-18.6313478445058,2.82806007378757819996703234301e-10,2.97679129199809993217261947812e-10,8.26349036334774408332194150815e-10,0.592746051674919661201619096516,6
160,9,2,5,4,-14.1816695638700,0.0000000813492998324182609016095122748,0.0000000965319161238520737723866282394,0.0000000809052337132562781760786898421,0.592746137072706843469647347542,8
160,9,3,1,"4,6,8,10,12",-21.5104176209683,5.10162848105311365687872364334e-12,5.69431894027026860430123782573e-12,6.05164648908086746989600887090e-11,0.592746050865197948813053234549,3
160,9,3,2,"4,6,8,10",-20.6436437176193,1.93757052628592828772602262453e-11,2.04001809905027121097889771083e-11,1.17246196473993313282965115373e-10,0.592746050932211123324665440769,4
160,9,3,3,"4,6",-18.7326399075198,3.76302818514024348172274214827e-10,8.36852405365706998256641134933e-10,4.91838613201673145050853785528e-10,0.592746051152953978006876147574,6
160,9,3,4,"4,6,8",-18.5172428370472,3.67784682675861028803955567611e-10,4.23147367065724050011140200204e-10,8.26349036334774408332194150815e-10,0.592746051674919661201619096516,5
160,9,3,5,4,-14.1326138158704,0.0000000910771783532457929864755762652,0.000000114801279026540613617730368925,0.0000000809052337132562781760786898421,0.592746137072706843469647347542,7
160,9,4,1,"4,6,8,10,12",-21.3698619060912,7.05122452043281351431237089625e-12,7.46004741285557640526752898878e-12,6.05164648908086746989600887090e-11,0.592746050865197948813053234549,2
160,9,4,2,"4,6,8,10",-20.5150320860726,2.60536845804743326737109265445e-11,2.62124288884254370654996785955e-11,1.17246196473993313282965115373e-10,0.592746050932211123324665440769,3
160,9,4,3,"4,6",-18.6405345796105,4.65203313179175128282593415003e-10,9.54906445920988206838207304552e-10,4.91838613201673145050853785528e-10,0.592746051152953978006876147574,5
160,9,4,4,"4,6,8",-18.4101731504089,4.70612355095889753879944797155e-10,5.50212824323507321023960023032e-10,8.26349036334774408332194150815e-10,0.592746051674919661201619096516,4
160,9,4,5,4,-14.0828383321818,0.000000102137459438193853534073839265,0.000000130567696173328761243011625921,0.0000000809052337132562781760786898421,0.592746137072706843469647347542,6
160,10,2,1,"4,6,8,10,12",-22.0373968664036,2.15316152543163063418936713737e-12,2.35817630380513701253632319314e-12,4.26114705978310530220529133407e-11,0.592746050847292954520075612872,3
160,10,2,2,"4,6,8,10",-21.2569348202651,6.86323967494473182213858136979e-12,8.07356381194087552715057204637e-12,8.06373067949757302337263524974e-11,0.592746050895602233645647857719,4
160,10,2,3,"4,6",-19.4341901543364,7.48147491982137230258933972581e-11,1.40130398998030804929085310661e-10,4.91838613201673145050853785528e-10,0.592746051446620830776730697718,6
160,10,2,4,"4,6,8",-19.3025597310978,1.11015985641996871439323156966e-10,1.11284362855013869287826795465e-10,4.48801965056986830631290054051e-10,0.592746051297372589923831518815,5
160,10,2,5,4,-14.6574768662639,0.0000000438929006907877451229466423571,0.0000000483336420372795667369353942006,0.0000000501335953483050236235401258361,0.592746106301068478518392795004,7
160,10,3,1,"4,6,8,10,12",-21.8349339639518,3.43193863102123952104113654307e-12,3.50424214491763824848240840853e-12,4.26114705978310530220529133407e-11,0.592746050847292954520075612872,2
160,10,3,2,"4,6,8,10",-21.0955426445679,9.95225147003819473439365262980e-12,1.06687924246949415425045352150e-11,8.06373067949757302337263524974e-11,0.592746050895602233645647857719,3
160,10,3,3,"4,6",-19.3580798024480,8.91451204823125183520582420686e-11,1.49259157889462927071126299311e-10,4.91838613201673145050853785528e-10,0.592746051446620830776730697718,5
160,10,3,4,"4,6,8",-19.1720179631035,1.49943376785478347200603811216e-10,1.61562011015856076135581763246e-10,4.48801965056986830631290054051e-10,0.592746051297372589923831518815,4
160,10,3,5,4,-14.6023025465441,0.0000000498389176442327657358697221833,0.0000000583141087675621358398544207000,0.0000000501335953483050236235401258361,0.592746106301068478518392795004,6
160,10,4,1,"4,6,8,10,12",-21.6619687795909,5.11098607454831040621666164887e-12,5.11098607454831040621666164887e-12,4.26114705978310530220529133407e-11,0.592746050847292954520075612872,1
160,10,4,2,"4,6,8,10",-20.9589012632998,1.36320987161626944171214241450e-11,1.39508196066394346459864512292e-11,8.06373067949757302337263524974e-11,0.592746050895602233645647857719,2
160,10,4,3,"4,6",-19.3161486827590,9.81812814062221606900882809599e-11,1.55582271180415013625624342377e-10,4.91838613201673145050853785528e-10,0.592746051446620830776730697718,4
160,10,4,4,"4,6,8",-19.0548632177880,1.96373116437756186325110626016e-10,2.14424627325947323541871812479e-10,4.48801965056986830631290054051e-10,0.592746051297372589923831518815,3
160,10,4,5,4,-14.5485349809734,0.0000000564074111141462851124671867565,0.0000000670923871731692495486470063454,0.0000000501335953483050236235401258361,0.592746106301068478518392795004,5
