L,seed,configuration_counter,pair_ordinal,x,y,anchor_x,anchor_y,orientation,shell,shell_lower,shell_upper,relation_mask,carrier_mask,sites,eligible_both,persistent_s2_count,shared_transition_count,kernel_preserving_topological_count,kernel_only_count,joint_count,sum_g16_0,sum_g16_1,sum_abs_g16_0,sum_abs_g16_1,sum_delta_g16,sum_abs_delta_g16,sum_q0,sum_q1,sum_delta_q,sum_abs_delta_q,sum_E0,sum_E1,sum_delta_E,sum_abs_delta_E,sum_q_observable_num32,sum_abs_q_observable_num32,sum_q_kernel_num32,sum_abs_q_kernel_num32,sum_q_product_delta_num16,sum_abs_q_product_delta_num16,sum_E_observable_num32,sum_abs_E_observable_num32,sum_E_kernel_num32,sum_abs_E_kernel_num32,sum_E_product_delta_num16,sum_abs_E_product_delta_num16,q_identity_residual_num32,E_identity_residual_num32,q_identity_max_abs,E_identity_max_abs,sum_shared0,sum_shared1
32,2026083123593201,27,5,16,272,16,0,V,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-31,1,1,32,31,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,6,24,0,24,0,H,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
32,2026083123593201,27,6,24,0,24,0,H,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,6,24,0,24,0,H,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,27,6,24,0,24,0,H,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,6,24,0,24,0,H,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,6,24,0,24,0,H,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-77,3,3,80,77,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,27,6,24,0,24,0,H,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-237,10,10,247,237,-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,27,6,24,0,24,0,H,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-635,12,12,647,635,-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,27,6,24,0,24,0,H,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,7,24,280,24,0,V,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,7,24,280,24,0,V,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,7,24,280,24,0,V,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-7,1,1,8,7,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,27,7,24,280,24,0,V,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,7,24,280,24,0,V,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,7,24,280,24,0,V,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-75,5,5,80,75,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,27,7,24,280,24,0,V,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-239,8,8,247,239,-8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,27,7,24,280,24,0,V,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-636,11,11,647,636,-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,27,7,24,280,24,0,V,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,8,256,264,0,8,H,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
32,2026083123593201,27,8,256,264,0,8,H,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
32,2026083123593201,27,8,256,264,0,8,H,1,1,1,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,8,256,264,0,8,H,1,1,1,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,8,256,264,0,8,H,1,1,1,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
32,2026083123593201,27,8,256,264,0,8,H,2,2,3,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,-80,-71,9,9,80,71,-9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,8,256,264,0,8,H,3,4,7,0,0,247,247,0,0,0,0,0,0,0,0,0,0,0,-247,-240,7,7,247,240,-7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,8,256,264,0,8,H,4,8,15,0,0,647,647,0,0,0,0,0,0,0,0,0,0,0,-647,-638,9,9,647,638,-9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,8,256,264,0,8,H,5,16,16,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,9,256,512,0,8,V,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,9,256,512,0,8,V,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
32,2026083123593201,27,9,256,512,0,8,V,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,27,9,256,512,0,8,V,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,9,256,512,0,8,V,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,9,256,512,0,8,V,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-72,8,8,80,72,-8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,27,9,256,512,0,8,V,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-237,10,10,247,237,-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,27,9,256,512,0,8,V,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-640,7,7,647,640,-7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,27,9,256,512,0,8,V,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,10,264,272,8,8,H,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,10,264,272,8,8,H,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
32,2026083123593201,27,10,264,272,8,8,H,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,27,10,264,272,8,8,H,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,10,264,272,8,8,H,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,10,264,272,8,8,H,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-79,1,1,80,79,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,27,10,264,272,8,8,H,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-239,8,8,247,239,-8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,27,10,264,272,8,8,H,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-631,16,16,647,631,-16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,27,10,264,272,8,8,H,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,11,264,520,8,8,V,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
32,2026083123593201,27,11,264,520,8,8,V,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
32,2026083123593201,27,11,264,520,8,8,V,1,1,1,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,11,264,520,8,8,V,1,1,1,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
32,2026083123593201,27,11,264,520,8,8,V,1,1,1,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,11,264,520,8,8,V,2,2,3,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,-80,-79,1,1,80,79,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,11,264,520,8,8,V,3,4,7,0,0,247,247,0,0,0,0,0,0,0,0,0,0,0,-247,-242,5,5,247,242,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,11,264,520,8,8,V,4,8,15,0,0,647,647,0,0,0,0,0,0,0,0,0,0,0,-647,-629,18,18,647,629,-18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,11,264,520,8,8,V,5,16,16,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,-32,-31,1,1,32,31,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2026083123593201,27,12,272,280,16,8,H,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,12,272,280,16,8,H,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,12,272,280,16,8,H,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-7,1,1,8,7,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,27,12,272,280,16,8,H,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,12,272,280,16,8,H,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,12,272,280,16,8,H,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-75,5,5,80,75,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,27,12,272,280,16,8,H,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-240,7,7,247,240,-7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,27,12,272,280,16,8,H,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-635,12,12,647,635,-12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,27,12,272,280,16,8,H,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,13,272,528,16,8,V,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
32,2026083123593201,27,13,272,528,16,8,V,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,13,272,528,16,8,V,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,27,13,272,528,16,8,V,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,13,272,528,16,8,V,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,13,272,528,16,8,V,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,27,13,272,528,16,8,V,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-243,4,4,247,243,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,27,13,272,528,16,8,V,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-627,20,20,647,627,-20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,27,13,272,528,16,8,V,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-31,1,1,32,31,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,14,280,256,24,8,H,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
32,2026083123593201,27,14,280,256,24,8,H,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,14,280,256,24,8,H,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-7,1,1,8,7,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,27,14,280,256,24,8,H,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,14,280,256,24,8,H,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,14,280,256,24,8,H,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-67,13,13,80,67,-13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,27,14,280,256,24,8,H,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-243,4,4,247,243,-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,27,14,280,256,24,8,H,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-640,7,7,647,640,-7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,27,14,280,256,24,8,H,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,15,280,536,24,8,V,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,15,280,536,24,8,V,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,15,280,536,24,8,V,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-7,1,1,8,7,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,27,15,280,536,24,8,V,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,15,280,536,24,8,V,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,15,280,536,24,8,V,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-75,5,5,80,75,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,27,15,280,536,24,8,V,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-237,10,10,247,237,-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,27,15,280,536,24,8,V,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-638,9,9,647,638,-9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,27,15,280,536,24,8,V,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,16,512,520,0,16,H,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
32,2026083123593201,27,16,512,520,0,16,H,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,16,512,520,0,16,H,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,27,16,512,520,0,16,H,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,16,512,520,0,16,H,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,16,512,520,0,16,H,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,27,16,512,520,0,16,H,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-242,5,5,247,242,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,27,16,512,520,0,16,H,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-627,20,20,647,627,-20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,27,16,512,520,0,16,H,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,17,512,768,0,16,V,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
32,2026083123593201,27,17,512,768,0,16,V,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
32,2026083123593201,27,17,512,768,0,16,V,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-8
32,2026083123593201,27,17,512,768,0,16,V,1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,17,512,768,0,16,V,1,1,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
32,2026083123593201,27,17,512,768,0,16,V,2,2,3,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-80
32,2026083123593201,27,17,512,768,0,16,V,3,4,7,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,-247,-240,7,7,247,240,-7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,-247
32,2026083123593201,27,17,512,768,0,16,V,4,8,15,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,-647,-629,18,18,647,629,-18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-647,-647
32,2026083123593201,27,17,512,768,0,16,V,5,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,-32
32,2026083123593201,27,18,520,528,8,16,H,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
32,2026083123593201,27,18,520,528,8,16,H,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
32,2026083123593201,27,18,520,528,8,16,H,1,1,1,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,-8,-8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
32,2026083123593201,27,18,520,528,8,16,H,1,1,1,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
32,2026083123593201,27,18,520,528,8,16,H,1,1,1,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
32,2026083123593201,27,18,520,528,8,16,H,2,2,3,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,-80,-80,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,80
32,2026083123593201,27,18,520,528,8,16,H,3,4,7,0,0,247,247,0,0,0,0,0,0,0,0,0,0,0,-247,-244,3,3,247,244,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,247
32,2026083123593201,27,18,520,528,8,16,H,4,8,15,0,0,647,647,0,0,0,0,0,0,0,0,0,0,0,-647,-625,22,22,647,625,-22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,647
