k,replicas,sum_clusters_G,sum_clusters_Gstar,sum_wrap_H_G,sum_wrap_V_G,sum_wrap_E_G,sum_wrap_B_G,sum_wrap_H_Gstar,sum_wrap_V_Gstar,sum_wrap_E_Gstar,sum_wrap_B_Gstar,sum_clusters_G_sq,sum_clusters_Gstar_sq,sum_clusters_G_Gstar,sum_H_G_H_Gstar,sum_V_G_V_Gstar,sum_E_G_E_Gstar,sum_B_G_B_Gstar
0,40000,0,40000,0,0,0,0,40000,40000,40000,40000,0,40000,0,0,0,0,0
1,40000,40000,40000,0,0,0,0,40000,40000,40000,40000,40000,40000,40000,0,0,0,0
2,40000,79834,40000,0,0,0,0,40000,40000,40000,40000,159502,40000,79834,0,0,0,0
3,40000,119494,40000,0,0,0,0,40000,40000,40000,40000,357476,40000,119494,0,0,0,0
4,40000,158984,40000,0,0,0,0,40000,40000,40000,40000,632906,40000,158984,0,0,0,0
5,40000,198366,40000,0,0,0,0,40000,40000,40000,40000,985340,40000,198366,0,0,0,0
6,40000,237590,40000,0,0,0,0,40000,40000,40000,40000,1413592,40000,237590,0,0,0,0
7,40000,276587,40000,0,0,0,0,40000,40000,40000,40000,1915873,40000,276587,0,0,0,0
8,40000,315497,40000,0,0,0,0,40000,40000,40000,40000,2492887,40000,315497,0,0,0,0
9,40000,354231,40000,0,0,0,0,40000,40000,40000,40000,3142615,40000,354231,0,0,0,0
10,40000,392786,40000,0,0,0,0,40000,40000,40000,40000,3864070,40000,392786,0,0,0,0
11,40000,431184,40000,0,0,0,0,40000,40000,40000,40000,4656628,40000,431184,0,0,0,0
12,40000,469439,40000,0,0,0,0,40000,40000,40000,40000,5519683,40000,469439,0,0,0,0
13,40000,507597,40000,0,0,0,0,40000,40000,40000,40000,6453545,40000,507597,0,0,0,0
14,40000,545546,40000,0,0,0,0,40000,40000,40000,40000,7454628,40000,545546,0,0,0,0
15,40000,583339,40000,0,0,0,0,40000,40000,40000,40000,8523281,40000,583339,0,0,0,0
16,40000,620953,40000,0,0,0,0,40000,40000,40000,40000,9658075,40000,620953,0,0,0,0
17,40000,658488,40000,0,0,0,0,40000,40000,40000,40000,10860838,40000,658488,0,0,0,0
18,40000,695917,40000,0,0,0,0,40000,40000,40000,40000,12130595,40000,695917,0,0,0,0
19,40000,733106,40000,0,0,0,0,40000,40000,40000,40000,13461848,40000,733106,0,0,0,0
20,40000,770080,40000,0,0,0,0,40000,40000,40000,40000,14854220,40000,770080,0,0,0,0
21,40000,806845,40000,0,0,0,0,40000,40000,40000,40000,16306717,40000,806845,0,0,0,0
22,40000,843542,40000,0,0,0,0,40000,40000,40000,40000,17824052,40000,843542,0,0,0,0
23,40000,880066,40000,0,0,0,0,40000,40000,40000,40000,19401200,40000,880066,0,0,0,0
24,40000,916531,40000,0,0,0,0,40000,40000,40000,40000,21042443,40000,916531,0,0,0,0
25,40000,952841,40000,0,0,0,0,40000,40000,40000,40000,22742861,40000,952841,0,0,0,0
26,40000,988963,40000,0,0,0,0,40000,40000,40000,40000,24500109,40000,988963,0,0,0,0
27,40000,1024936,40000,0,0,0,0,40000,40000,40000,40000,26314996,40000,1024936,0,0,0,0
28,40000,1060710,40000,0,0,0,0,40000,40000,40000,40000,28184360,40000,1060710,0,0,0,0
29,40000,1096405,40000,0,0,0,0,40000,40000,40000,40000,30113153,40000,1096405,0,0,0,0
30,40000,1131961,40000,0,0,0,0,40000,40000,40000,40000,32098319,40000,1131961,0,0,0,0
31,40000,1167256,40000,0,0,0,0,40000,40000,40000,40000,34131494,40000,1167256,0,0,0,0
32,40000,1202423,40000,0,0,0,0,40000,40000,40000,40000,36219425,40000,1202423,0,0,0,0
33,40000,1237388,40000,0,0,0,0,40000,40000,40000,40000,38356562,40000,1237388,0,0,0,0
34,40000,1272371,40000,0,0,0,0,40000,40000,40000,40000,40555975,40000,1272371,0,0,0,0
35,40000,1307075,40000,0,0,0,0,40000,40000,40000,40000,42798881,40000,1307075,0,0,0,0
